Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Chrome 67.0.3396.99,,2018-07-02 13:45:11,2018-07-02 13:45:27,"15,913s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Chrome 67.0.3396.99,,2018-07-02 13:45:11,2018-07-02 13:45:25,"13,112s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 13:45:12,2018-07-02 13:45:20,"8,500s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:45:20,2018-07-02 13:45:20,"0,141s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:20,2018-07-02 13:45:21,"0,335s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:45:21,2018-07-02 13:45:21,"0,353s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:21,2018-07-02 13:45:22,"0,363s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:45:22,2018-07-02 13:45:23,"1,253s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:23,2018-07-02 13:45:23,"0,196s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:45:23,2018-07-02 13:45:24,"0,557s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:45:24,2018-07-02 13:45:24,"0,196s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:24,2018-07-02 13:45:24,"0,135s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-02 13:45:24,2018-07-02 13:45:24,"0,073s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:45:24,2018-07-02 13:45:25,"0,574s",PASSED
,,,,,,
Test Cases/OpenProfilePage,Chrome 67.0.3396.99,,2018-07-02 13:45:25,2018-07-02 13:45:25,"0,949s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:25,2018-07-02 13:45:25,"0,681s",FAILED
,,,,,,
Test Cases/LogOut,Chrome 67.0.3396.99,,2018-07-02 13:45:25,2018-07-02 13:45:26,"0,560s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:26,2018-07-02 13:45:26,"0,153s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:45:26,2018-07-02 13:45:26,"0,058s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:45:26,2018-07-02 13:45:26,"0,110s",PASSED
