Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Chrome 67.0.3396.99,,2018-07-02 13:42:39,2018-07-02 13:42:55,"16,487s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Chrome 67.0.3396.99,,2018-07-02 13:42:39,2018-07-02 13:42:53,"13,744s",PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 13:42:40,2018-07-02 13:42:49,"8,914s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:42:49,2018-07-02 13:42:49,"0,124s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:49,2018-07-02 13:42:49,"0,263s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:42:49,2018-07-02 13:42:49,"0,231s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:49,2018-07-02 13:42:50,"0,389s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:42:50,2018-07-02 13:42:51,"1,552s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:51,2018-07-02 13:42:51,"0,178s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:42:51,2018-07-02 13:42:52,"0,563s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:42:52,2018-07-02 13:42:52,"0,194s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:52,2018-07-02 13:42:52,"0,153s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-02 13:42:52,2018-07-02 13:42:52,"0,061s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:42:52,2018-07-02 13:42:53,"0,545s",PASSED
,,,,,,
Test Cases/OpenProfilePage,Chrome 67.0.3396.99,,2018-07-02 13:42:53,2018-07-02 13:42:54,"0,907s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:53,2018-07-02 13:42:54,"0,666s",FAILED
,,,,,,
Test Cases/LogOut,Chrome 67.0.3396.99,,2018-07-02 13:42:54,2018-07-02 13:42:54,"0,541s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:54,2018-07-02 13:42:54,"0,204s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:42:54,2018-07-02 13:42:54,"0,036s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:42:54,2018-07-02 13:42:54,"0,104s",PASSED
