Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Chrome 67.0.3396.99,,2018-07-02 13:17:19,2018-07-02 13:18:11,"52,652s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Chrome 67.0.3396.99,,2018-07-02 13:17:19,2018-07-02 13:17:54,"34,912s",FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 13:17:20,2018-07-02 13:17:28,"8,225s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:17:28,2018-07-02 13:17:28,"0,168s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:17:28,2018-07-02 13:17:28,"0,311s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:17:28,2018-07-02 13:17:29,"0,356s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:17:29,2018-07-02 13:17:29,"0,383s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:17:29,2018-07-02 13:17:31,"1,453s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:17:31,2018-07-02 13:17:31,"0,219s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:17:31,2018-07-02 13:17:31,"0,201s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:17:31,2018-07-02 13:17:32,"0,654s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-02 13:17:32,2018-07-02 13:17:32,"0,129s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:17:32,2018-07-02 13:17:54,"22,375s",FAILED
,,,,,,
Test Cases/OpenProfilePage,Chrome 67.0.3396.99,,2018-07-02 13:17:54,2018-07-02 13:18:03,"8,336s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:17:54,2018-07-02 13:18:02,"8,082s",FAILED
,,,,,,
Test Cases/LogOut,Chrome 67.0.3396.99,,2018-07-02 13:18:03,2018-07-02 13:18:11,"8,232s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:18:03,2018-07-02 13:18:11,"8,056s",FAILED
