Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Firefox 58.0,,2018-07-02 13:16:38,2018-07-02 13:16:57,"19,436s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Firefox 58.0,,2018-07-02 13:16:38,2018-07-02 13:16:55,"16,439s",PASSED
openBrowser,Firefox 58.0,,2018-07-02 13:16:39,2018-07-02 13:16:49,"10,611s",PASSED
verifyElementPresent,Firefox 58.0,,2018-07-02 13:16:49,2018-07-02 13:16:50,"0,264s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:50,2018-07-02 13:16:50,"0,551s",PASSED
waitForElementPresent,Firefox 58.0,,2018-07-02 13:16:50,2018-07-02 13:16:50,"0,073s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:50,2018-07-02 13:16:51,"0,335s",PASSED
setText,Firefox 58.0,,2018-07-02 13:16:51,2018-07-02 13:16:51,"0,452s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:51,2018-07-02 13:16:53,"2,180s",PASSED
setText,Firefox 58.0,,2018-07-02 13:16:53,2018-07-02 13:16:54,"0,563s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:54,2018-07-02 13:16:54,"0,307s",PASSED
waitForPageLoad,Firefox 58.0,,2018-07-02 13:16:54,2018-07-02 13:16:54,"0,095s",PASSED
verifyElementPresent,Firefox 58.0,,2018-07-02 13:16:54,2018-07-02 13:16:55,"0,587s",PASSED
,,,,,,
Test Cases/OpenProfilePage,Firefox 58.0,,2018-07-02 13:16:55,2018-07-02 13:16:56,"0,906s",FAILED
click,Firefox 58.0,,2018-07-02 13:16:55,2018-07-02 13:16:56,"0,568s",FAILED
,,,,,,
Test Cases/LogOut,Firefox 58.0,,2018-07-02 13:16:56,2018-07-02 13:16:57,"0,936s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:56,2018-07-02 13:16:56,"0,293s",PASSED
waitForElementPresent,Firefox 58.0,,2018-07-02 13:16:56,2018-07-02 13:16:56,"0,023s",PASSED
click,Firefox 58.0,,2018-07-02 13:16:56,2018-07-02 13:16:57,"0,291s",PASSED
