Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Chrome 67.0.3396.99,,2018-07-02 13:10:36,2018-07-02 13:12:28,"1m - 51,971s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Chrome 67.0.3396.99,,2018-07-02 13:10:37,2018-07-02 13:11:23,"46,326s",FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 13:10:37,2018-07-02 13:10:47,"9,647s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:10:47,2018-07-02 13:10:47,"0,159s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:10:47,2018-07-02 13:10:47,"0,393s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:10:47,2018-07-02 13:10:48,"0,205s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:10:48,2018-07-02 13:10:48,"0,309s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:10:48,2018-07-02 13:10:49,"1,151s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:10:49,2018-07-02 13:10:50,"0,597s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:10:50,2018-07-02 13:10:50,"0,197s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:10:50,2018-07-02 13:10:50,"0,154s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:10:50,2018-07-02 13:10:51,"0,636s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-02 13:10:51,2018-07-02 13:10:51,"0,107s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:10:51,2018-07-02 13:11:23,"32,330s",FAILED
,,,,,,
Test Cases/OpenProfilePage,Chrome 67.0.3396.99,,2018-07-02 13:11:23,2018-07-02 13:11:55,"32,162s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:11:23,2018-07-02 13:11:55,"31,853s",FAILED
,,,,,,
Test Cases/LogOut,Chrome 67.0.3396.99,,2018-07-02 13:11:55,2018-07-02 13:12:27,"32,066s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:11:55,2018-07-02 13:12:27,"31,884s",FAILED
